"time","EGO","press","speed","throttle"
4.47000000,0.48658204,0.86835849,300.00000000,18.82500076
4.48000000,0.48799187,0.86778951,300.00000000,18.79999924
4.49000000,0.48940510,0.86721760,300.00000000,18.77499962
4.50000000,0.49081478,0.86664271,300.00000000,18.75000000
4.51000000,0.49222532,0.86606491,300.00000000,18.72500038
4.52000000,0.49363002,0.86548406,300.00000000,18.70000076
4.53000000,0.49503353,0.86490029,300.00000000,18.67499924
4.54000000,0.49643898,0.86431348,300.00000000,18.64999962
4.55000000,0.49784827,0.86372370,300.00000000,18.62500000
4.56000000,0.49926260,0.86313081,300.00000000,18.60000038
4.57000000,0.50067306,0.86253488,300.00000000,18.57500076
4.58000000,0.50208247,0.86193591,300.00000000,18.54999924
4.59000000,0.50349271,0.86133385,300.00000000,18.52499962
4.60000000,0.50490499,0.86072868,300.00000000,18.50000000
4.61000000,0.50631964,0.86012036,300.00000000,18.47500038
4.62000000,0.50773698,0.85950893,300.00000000,18.45000076
