"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0.89,0.2,0.4,-3.1492957160082,-0.064913451836604,-1.3972452156751,9.9946567406854e-14,-1.0787932394457,-3.5187099196643,5.625334171129,3.5836233715008
0.9,0.2,0.4,-3.1498049070646,-0.040400862762969,-1.3972452156751,9.9946567406854e-14,-1.1138424585447,-3.4660825310582,5.6610568998125,3.5559738884359
0.91,0.2,0.4,-3.1500897729968,-0.011700728311993,-1.3972452156751,9.9946567406854e-14,-1.1478589571773,-3.3371229860422,5.6963531717186,3.4983140868875
0.92,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.1805298971345,-3.1926189920963,5.7310340565768,3.4421093646295
0.93,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.211678206664,-3.0358123189242,5.7651772698317,3.3853026914574
0.94,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.2412257229677,-2.8729008519654,5.7987196898606,3.3223912244986
0.95,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.269125487979,-2.7067799050223,5.8316143585973,3.2562702775555
0.96,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.2953613210522,-2.5406589581597,5.8638450953958,3.1901493306928
0.97,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.3199494028363,-2.3777474914345,5.8954280809052,3.1272378639677
0.98,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.3429366914005,-2.2209408186262,5.9264102731948,3.0704311911593
0.99,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.3643963256511,-2.0725366737509,5.9568648111708,3.022027046284
1,0.2,0.4,-3.1501048048602,5.0396644322992e-14,-1.3972452156751,9.9946567406854e-14,-1.3844204086133,-1.9340107425207,5.9868838408263,2.9835011150538
1.01,0.2,0.4,-3.1501762382679,-0.019874134398484,-1.3972452156751,9.9946567406854e-14,-1.4030874080887,-1.7992457528535,6.0166171781065,2.9686102597851
1.02,0.2,0.4,-3.150607433346,-0.07131716913585,-1.3972452156751,9.9946567406854e-14,-1.4204033152288,-1.6638355532747,6.0463591840501,2.9846430949437
1.03,0.2,0.4,-3.1516929233323,-0.14977410621664,-1.3972452156751,9.9946567406854e-14,-1.4363621117213,-1.52782324742,6.0763983742543,3.0270877261697
1.04,0.2,0.4,-3.1536702214977,-0.24835836994264,-1.3972452156751,9.9946567406854e-14,-1.4509577653801,-1.39120662647,6.1069662298037,3.0890553689458
1.05,0.2,0.4,-3.1566983634338,-0.35839035907925,-1.3972452156751,9.9946567406854e-14,-1.4641842224075,-1.2539835770343,6.1382157324927,3.1618643086467
1.06,0.2,0.4,-3.160844114437,-0.47024768631771,-1.3972452156751,9.9946567406854e-14,-1.4760354083507,-1.1161520814842,6.1702075731644,3.235890140335
1.07,0.2,0.4,-3.1660772150073,-0.57430767613081,-1.3972452156751,9.9946567406854e-14,-1.4865052290607,-0.97771021827168,6.20290539817,3.3015082669356
1.08,0.2,0.4,-3.1722751295857,-0.66188986267178,-1.3972452156751,9.9946567406854e-14,-1.4955875716546,-0.83865616223306,6.2361805590676,3.3500363974379
1.09,0.2,0.4,-3.1792368334071,-0.72610622936641,-1.3972452156751,9.9946567406854e-14,-1.5032763054809,-0.69898818487689,6.2698259004406,3.3745847867764
1.1,0.2,0.4,-3.1867042876331,-0.76253596273836,-1.3972452156751,9.9946567406854e-14,-1.5095652830881,-0.55870465465699,6.3035772359992,3.3707309899284
1.11,0.2,0.4,-3.1943894970885,-0.76965727686388,-1.3972452156751,9.9946567406854e-14,-1.5144482724761,-0.41780400714243,6.3371403872369,3.3369516565393
1.12,0.2,0.4,-3.2020045070014,-0.74900226545803,-1.3972452156751,9.9946567406854e-14,-1.5179192326432,-0.27628486561069,6.3702212610421,3.2747775036018
1.13,0.2,0.4,-3.2092914064615,-0.70499857284834,-1.3972452156751,9.9946567406854e-14,-1.5199718610681,-0.13414584242986,6.4025557222013,3.1886347878112
