"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0.1635,0.2,0.4,-1.41944,-6.98319,-0.130775,-1.60896,0,0,1.55021,8.59216
0.1635,0.2,0.4,-1.42988,-6.94,-0.133199,-1.62365,0,0,1.56308,8.56365
0.165,0.2,0.4,-1.42988,-6.94,-0.133199,-1.62365,0,0,1.56308,8.56365
0.165,0.2,0.4,-1.44026,-6.89711,-0.135646,-1.63834,0,0,1.5759,8.53545
0.1665,0.2,0.4,-1.44026,-6.89711,-0.135646,-1.63834,0,0,1.5759,8.53545
0.1665,0.2,0.4,-1.45057,-6.85456,-0.138114,-1.65302,0,0,1.58868,8.50757
0.168,0.2,0.4,-1.45057,-6.85456,-0.138114,-1.65302,0,0,1.58868,8.50757
0.168,0.2,0.4,-1.46082,-6.81236,-0.140605,-1.66769,0,0,1.60142,8.48005
0.1695,0.2,0.4,-1.46082,-6.81236,-0.140605,-1.66769,0,0,1.60142,8.48005
0.1695,0.2,0.4,-1.47101,-6.77056,-0.143117,-1.68235,0,0,1.61412,8.45291
0.171,0.2,0.4,-1.47101,-6.77056,-0.143117,-1.68235,0,0,1.61412,8.45291
0.171,0.2,0.4,-1.48113,-6.72917,-0.145652,-1.69702,0,0,1.62678,8.42619
0.1725,0.2,0.4,-1.48113,-6.72917,-0.145652,-1.69702,0,0,1.62678,8.42619
0.1725,0.2,0.4,-1.49119,-6.68823,-0.148208,-1.71167,0,0,1.6394,8.3999
0.174,0.2,0.4,-1.49119,-6.68823,-0.148208,-1.71167,0,0,1.6394,8.3999
0.174,0.2,0.4,-1.5012,-6.64776,-0.150787,-1.72632,0,0,1.65198,8.37408
0.1755,0.2,0.4,-1.5012,-6.64776,-0.150787,-1.72632,0,0,1.65198,8.37408
0.1755,0.2,0.4,-1.51114,-6.60779,-0.153387,-1.74096,0,0,1.66453,8.34875
0.177,0.2,0.4,-1.51114,-6.60779,-0.153387,-1.74096,0,0,1.66453,8.34875
0.177,0.2,0.4,-1.52102,-6.56834,-0.15601,-1.7556,0,0,1.67703,8.32393
0.1785,0.2,0.4,-1.52102,-6.56834,-0.15601,-1.7556,0,0,1.67703,8.32393
