    "time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
      3.37, 25.010904, 22.946195, 26.689153,0.05022222, 1.0153412
      3.38, 25.007684, 23.087987, 26.878738,0.11642311,0.94117134
      3.39, 25.004888, 23.229903,  27.05803,0.17800964,0.87194903
       3.4, 25.002545, 23.369476, 27.228969,0.23306238,0.80919317
      3.41, 25.000657,  23.50481, 27.393538,0.28048274,0.75417353
      3.42, 24.999206, 23.634654, 27.553563,0.32049576,0.70841386
      3.43, 24.998159, 23.758174, 27.710348, 0.3513916,0.66971982
      3.44, 24.997471, 23.875167, 27.865459,0.37519045,0.63995253
      3.45, 24.997092, 23.985584,  28.01972,0.39151988,0.61722333
      3.46, 24.996968, 24.089715, 28.173967,0.40179616,0.60147951
      3.47, 24.997047, 24.188051, 28.328764,0.40633226,0.59107459
      3.48, 24.997279, 24.281233, 28.484516,0.40660567,0.58565358
      3.49, 24.997618, 24.369928, 28.641407,0.40313711,0.58378187
       3.5, 24.998026, 24.454849, 28.799501,0.39698398,0.58473946
      3.51, 24.998468, 24.536705, 28.958759,0.38891123,0.58763647
      3.52, 24.998916,  24.61615, 29.119058,0.37964476,0.59176926
      3.53, 24.999348, 24.693767, 29.280211,0.36980678,0.59657819
      3.54, 24.999748, 24.770123, 29.441999,0.35988415,0.60144729
      3.55, 25.000105, 24.845643, 29.604181,0.35028355,0.60605321
      3.56, 25.000412, 24.920696, 29.766513,0.34123579, 0.6100149
      3.57, 25.000666, 24.995541, 29.928735,0.33274247,0.61288327
      3.58, 25.000868,  25.07043, 30.090677,0.32562739,0.61544641
      3.59,  25.00102, 25.145467, 30.252115, 0.3192909,0.61682708
       3.6, 25.001126, 25.220762,  30.41291,0.31383054,0.61715906
      3.61, 25.001191, 25.296341, 30.572919,0.30944368,0.61680565
      3.62, 25.001223, 25.372191, 30.732028,0.30576893,0.61548008
      3.63, 25.001226, 25.448279, 30.890158,0.30283401,0.61342818
      3.64, 25.001207, 25.524541, 31.047248,  0.300514,0.61076788
      3.65, 25.001171, 25.600915,  31.20327,0.29871844,0.60760671
      3.66, 25.001123, 25.677321, 31.358207,0.29732499,0.60404526
      3.67, 25.001069, 25.753679, 31.512061,0.29625181,0.60021522
      3.68, 25.001012, 25.829908, 31.664844,0.29538511,0.59619283
      3.69, 25.000955, 25.905936, 31.816578,0.29465051,0.59206554
       3.7,   25.0009, 25.981697, 31.967292,0.29397846,0.58790638
      3.71, 25.000849, 26.057134, 32.117018,0.29331518,0.58376946
      3.72, 25.000804,   26.1322, 32.265791,0.29261622,0.57970116
      3.73, 25.000765, 26.206858, 32.413646,0.29185236,0.57573004
      3.74, 25.000732, 26.281078, 32.560615,0.29100084,0.57188008
