"time","outdata_3263","outdata_0031","rdy_next_next_cycle","rdy_next_cycle","rdy","c17_out_3263","c17_out_0031","b1_out","key_l_out","countup_out"
0.301,-2048388268,252359685,0,0,0,172808597,1128411700,56,214609904,11
0.302,-2048388268,252359685,0,0,0,172808597,1128411700,4,53652476,12
0.303,-2048388268,252359685,0,0,0,172808597,1128411700,38,13413119,13
0.304,-2048388268,252359685,1,0,0,172808597,1128411700,17,204679871,14
0.305,-2048388268,252359685,0,1,0,172808597,1128411700,12,236557663,15
0.306,19088743,-1985229329,0,0,1,-872362753,-257232726,38,252496559,0
0.307,19088743,-1985229329,0,0,0,-872362753,-257232726,60,236557663,0
0.308,19088743,-1985229329,0,0,0,-872362753,-257232726,44,204679871,1
0.309,19088743,-1985229329,0,0,0,-872362753,-257232726,23,13413119,2
0.31,19088743,-1985229329,0,0,0,-872362753,-257232726,46,53652476,3
0.311,19088743,-1985229329,0,0,0,-872362753,-257232726,16,214609904,4
0.312,19088743,-1985229329,0,0,0,-872362753,-257232726,46,53133251,5
0.313,19088743,-1985229329,0,0,0,-872362753,-257232726,39,212533004,6
0.314,19088743,-1985229329,0,0,0,-872362753,-257232726,5,44825651,7
0.315,19088743,-1985229329,0,0,0,-872362753,-257232726,39,89651302,8
0.316,19088743,-1985229329,0,0,0,-872362753,-257232726,45,90169753,9
0.317,19088743,-1985229329,0,0,0,-872362753,-257232726,33,92243557,10
0.318,19088743,-1985229329,0,0,0,-872362753,-257232726,17,100538773,11
0.319,19088743,-1985229329,0,0,0,-872362753,-257232726,12,133719637,12
0.32,19088743,-1985229329,0,0,0,-872362753,-257232726,39,266443093,13
0.321,19088743,-1985229329,1,0,0,-872362753,-257232726,47,260466007,14
0.322,19088743,-1985229329,0,1,0,-872362753,-257232726,18,252496559,15
0.323,309334259,-859300444,0,0,1,978309192,-1198886903,56,236557663,0
0.324,309334259,-859300444,0,0,0,978309192,-1198886903,18,252496559,0
0.325,309334259,-859300444,0,0,0,978309192,-1198886903,47,260466007,1
0.326,309334259,-859300444,0,0,0,978309192,-1198886903,39,266443093,2
0.327,309334259,-859300444,0,0,0,978309192,-1198886903,12,133719637,3
0.328,309334259,-859300444,0,0,0,978309192,-1198886903,17,100538773,4
0.329,309334259,-859300444,0,0,0,978309192,-1198886903,33,92243557,5
0.33,309334259,-859300444,0,0,0,978309192,-1198886903,45,90169753,6
0.331,309334259,-859300444,0,0,0,978309192,-1198886903,39,89651302,7
0.332,309334259,-859300444,0,0,0,978309192,-1198886903,5,44825651,8
0.333,309334259,-859300444,0,0,0,978309192,-1198886903,39,212533004,9
0.334,309334259,-859300444,0,0,0,978309192,-1198886903,46,53133251,10
0.335,309334259,-859300444,0,0,0,978309192,-1198886903,16,214609904,11
0.336,309334259,-859300444,0,0,0,978309192,-1198886903,46,53652476,12
0.337,309334259,-859300444,0,0,0,978309192,-1198886903,23,13413119,13
0.338,309334259,-859300444,1,0,0,978309192,-1198886903,44,204679871,14
0.339,309334259,-859300444,0,1,0,978309192,-1198886903,60,236557663,15
0.34,-2021161081,-2021161081,0,0,1,65535,-16776961,22,252496559,0
0.341,-2021161081,-2021161081,0,0,0,65535,-16776961,3,236557663,0
0.342,-2021161081,-2021161081,0,0,0,65535,-16776961,62,204679871,1
0.343,-2021161081,-2021161081,0,0,0,65535,-16776961,3,13413119,2
0.344,-2021161081,-2021161081,0,0,0,65535,-16776961,39,53652476,3
0.345,-2021161081,-2021161081,0,0,0,65535,-16776961,17,214609904,4
0.346,-2021161081,-2021161081,0,0,0,65535,-16776961,12,53133251,5
0.347,-2021161081,-2021161081,0,0,0,65535,-16776961,34,212533004,6
0.348,-2021161081,-2021161081,0,0,0,65535,-16776961,22,44825651,7
0.349,-2021161081,-2021161081,0,0,0,65535,-16776961,58,89651302,8
0.35,-2021161081,-2021161081,0,0,0,65535,-16776961,2,90169753,9
0.351,-2021161081,-2021161081,0,0,0,65535,-16776961,58,92243557,10
0.352,-2021161081,-2021161081,0,0,0,65535,-16776961,22,100538773,11
0.353,-2021161081,-2021161081,0,0,0,65535,-16776961,20,133719637,12
0.354,-2021161081,-2021161081,0,0,0,65535,-16776961,44,266443093,13
0.355,-2021161081,-2021161081,1,0,0,65535,-16776961,24,260466007,14
0.356,-2021161081,-2021161081,0,1,0,65535,-16776961,39,252496559,15
0.357,1760299270,1642118831,0,0,1,859884180,-487340088,13,236557663,0
0.358,1760299270,1642118831,0,0,0,859884180,-487340088,39,252496559,0
0.359,1760299270,1642118831,0,0,0,859884180,-487340088,24,260466007,1
0.36,1760299270,1642118831,0,0,0,859884180,-487340088,44,266443093,2
0.361,1760299270,1642118831,0,0,0,859884180,-487340088,20,133719637,3
0.362,1760299270,1642118831,0,0,0,859884180,-487340088,22,100538773,4
0.363,1760299270,1642118831,0,0,0,859884180,-487340088,58,92243557,5
0.364,1760299270,1642118831,0,0,0,859884180,-487340088,2,90169753,6
0.365,1760299270,1642118831,0,0,0,859884180,-487340088,58,89651302,7
0.366,1760299270,1642118831,0,0,0,859884180,-487340088,22,44825651,8
