Time,y_multiSwitch,y_triggeredAdd,y_product,y_sum
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.54,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.55,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.56,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.57,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.58,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.59,6.0,5.0,9.0,3.0
5.6,6.0,5.0,9.0,3.0
5.6,6.0,5.0,9.0,3.0
5.6,6.0,5.0,9.0,3.0
5.6,6.0,5.0,9.0,3.0
5.6,6.0,5.0,9.0,3.0
5.6,2.0,5.0,9.0,3.0
5.6,2.0,5.0,9.0,3.0
5.6,2.0,5.0,9.0,3.0
5.6,2.0,5.0,9.0,3.0
5.6,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.61,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.62,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.63,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.64,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.65,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.66,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
5.67,2.0,5.0,9.0,3.0
