"time","egsCarSpeed","egsGear","egsTargetGear","valves_0eds","valves_0eds1","valves_0eds2","valves_0eds3","valves_0eds4","valves_0eds5","valves_0mv1","valves_0mv2","valves_0mv3"
29.0294,94.786,6,6,0,0,1,0,0,1,1,1,0
29.0294,93.916,6,6,0,0,1,0,0,1,1,1,0
29.063,93.916,6,6,0,0,1,0,0,1,1,1,0
29.063,93.046,6,6,0,0,1,0,0,1,1,1,0
29.0965,93.046,6,6,0,0,1,0,0,1,1,1,0
29.0965,92.176,6,6,0,0,1,0,0,1,1,1,0
29.1301,92.176,6,6,0,0,1,0,0,1,1,1,0
29.1301,91.306,6,6,0,0,1,0,0,1,1,1,0
29.1636,91.306,6,6,0,0,1,0,0,1,1,1,0
29.1636,90.437,6,6,0,0,1,0,0,1,1,1,0
29.1972,90.437,6,6,0,0,1,0,0,1,1,1,0
29.1972,89.568,6,6,0,0,1,0,0,1,1,1,0
29.2308,89.568,6,6,0,0,1,0,0,1,1,1,0
29.2308,88.699,6,6,0,0,1,0,0,1,1,1,0
29.2643,88.699,6,6,0,0,1,0,0,1,1,1,0
29.2643,87.83,6,6,0,0,1,0,0,1,1,1,0
29.2979,87.83,6,6,0,0,1,0,0,1,1,1,0
29.2979,86.962,6,6,0,0,1,0,0,1,1,1,0
29.3314,86.962,6,6,0,0,1,0,0,1,1,1,0
29.3314,86.094,6,6,0,0,1,0,0,1,1,1,0
29.365,86.094,6,6,0,0,1,0,0,1,1,1,0
29.365,85.227,6,6,0,0,1,0,0,1,1,1,0
29.3986,85.227,6,6,0,0,1,0,0,1,1,1,0
29.3986,84.359,6,6,0,0,1,0,0,1,1,1,0
29.4321,84.359,6,6,0,0,1,0,0,1,1,1,0
29.4321,83.492,6,6,0,0,1,0,0,1,1,1,0
29.4657,83.492,6,6,0,0,1,0,0,1,1,1,0
29.4657,82.625,6,6,0,0,1,0,0,1,1,1,0
29.4992,82.625,6,6,0,0,1,0,0,1,1,1,0
29.4992,81.759,6,6,0,0,1,0,0,1,1,1,0
29.5328,81.759,6,6,0,0,1,0,0,1,1,1,0
29.5328,80.892,6,6,0,0,1,0,0,1,1,1,0
29.5664,80.892,6,6,0,0,1,0,0,1,1,1,0
29.5664,80.026,6,6,0,0,1,0,0,1,1,1,0
29.5999,80.026,6,6,0,0,1,0,0,1,1,1,0
29.5999,79.16,6,6,0,0,1,0,0,1,1,1,0
29.6335,79.16,6,6,0,0,1,0,0,1,1,1,0
29.6335,78.295,6,6,0,0,1,0,0,1,1,1,0
29.667,78.295,6,6,0,0,1,0,0,1,1,1,0
29.667,77.43,6,6,0,0,1,0,0,1,1,1,0
29.7006,77.43,6,6,0,0,1,0,0,1,1,1,0
29.7006,76.565,6,6,0,0,1,0,0,1,1,1,0
29.7342,76.565,6,6,0,0,1,0,0,1,1,1,0
29.7342,75.7,6,6,0,0,1,0,0,1,1,1,0
29.7677,75.7,6,6,0,0,1,0,0,1,1,1,0
29.7677,74.835,6,6,0,0,1,0,0,1,1,1,0
29.8013,74.835,6,6,0,0,1,0,0,1,1,1,0
29.8013,73.971,6,6,0,0,1,0,0,1,1,1,0
29.8348,73.971,6,6,0,0,1,0,0,1,1,1,0
29.8348,73.107,6,6,0,0,1,0,0,1,1,1,0
29.8684,73.107,6,6,0,0,1,0,0,1,1,1,0
29.8684,72.243,6,6,0,0,1,0,0,1,1,1,0
29.902,72.243,6,6,0,0,1,0,0,1,1,1,0
29.902,71.38,6,6,0,0,1,0,0,1,1,1,0
29.9355,71.38,6,6,0,0,1,0,0,1,1,1,0
