"time","U@resistance","I@variable_resistance"
8.055009823e-005,3.946872257,-1.299850796e-006
8.074656189e-005,4.544809469,-1.714931894e-006
8.094302554e-005,5.125673515,-2.086058893e-006
8.113948919e-005,5.669902132,-2.404358824e-006
8.133595285e-005,6.15771691,-2.663206284e-006
8.15324165e-005,6.569972459,-2.85839314e-006
8.172888016e-005,6.888985062,-2.98819801e-006
8.192534381e-005,7.09930339,-3.053355035e-006
8.212180747e-005,7.188391507,-3.056926214e-006
8.231827112e-005,7.147195542,-3.004084795e-006
8.251473477e-005,6.97057156,-2.901821003e-006
8.271119843e-005,6.657558104,-2.758584086e-006
8.290766208e-005,6.211483505,-2.583877242e-006
8.310412574e-005,5.639904947,-2.387822924e-006
8.330058939e-005,4.954383429,-2.180717798e-006
8.349705305e-005,4.170105334,-1.97259559e-006
8.36935167e-005,3.305367112,-1.772815646e-006
8.388998035e-005,2.380944878,-1.58969361e-006
8.408644401e-005,1.419376192,-1.43018882e-006
8.428290766e-005,0.4441821074,-1.299659271e-006
8.447937132e-005,-0.5209370766,-1.201693139e-006
8.467583497e-005,-1.452904541,-1.138021086e-006
8.487229862e-005,-2.330030514,-1.108512975e-006
8.506876228e-005,-3.217009631,-0.01428722137
8.526522593e-005,-4.167104715,-0.04471873097
8.546168959e-005,-5.005802443,-0.07302163366
8.565815324e-005,-5.723829772,-0.09901902662
8.58546169e-005,-6.314353443,-0.1225805847
8.605108055e-005,-6.77297843,-0.1436225245
8.62475442e-005,-7.097720277,-0.1621070812
8.644400786e-005,-7.288933106,-0.1780411303
8.664047151e-005,-7.349199878,-0.191474087
8.683693517e-005,-7.283196702,-0.2024953132
8.703339882e-005,-7.097519256,-0.2112308158
8.722986248e-005,-6.800489916,-0.2178395479
8.742632613e-005,-6.401943133,-0.2225093167
8.762278978e-005,-5.912993537,-0.2254523626
8.781925344e-005,-5.345793359,-0.2269007126
8.801571709e-005,-4.713283417,-0.2271014424
8.821218075e-005,-4.028941815,-0.2263118694
8.84086444e-005,-3.306529993,-0.2247947069
8.860510806e-005,-2.559854897,-0.2228135273
8.880157171e-005,-1.802538177,-0.220628353
8.899803536e-005,-1.047769318,-0.2184909178
8.919449902e-005,-0.3081359121,-0.2166415694
8.939096267e-005,0.4045750335,-0.2153051932
8.958742633e-005,1.079542011,-0.2146883487
8.978388998e-005,1.707053219,-0.2149763788
8.998035363e-005,2.278614492,-0.2163313734
9.017681729e-005,2.829173496,-4.300395951e-007
9.037328094e-005,3.41010142,-8.970875746e-007
9.05697446e-005,4.007506439,-1.342225086e-006
9.076620825e-005,4.60450338,-1.753122752e-006
9.096267191e-005,5.182450007,-2.119118291e-006
9.115913556e-005,5.721737241,-2.431560805e-006
9.135559921e-005,6.202626537,-2.684066688e-006
9.155206287e-005,6.606097421,-2.872679168e-006
9.174852652e-005,6.914671743,-2.99592758e-006
9.194499018e-005,7.113175904,-3.054786157e-006
9.214145383e-005,7.189412809,-3.052537109e-006
9.233791749e-005,7.134714958,-2.994545819e-006
9.253438114e-005,6.944356899,-2.887959715e-006
9.273084479e-005,6.617811161,-2.741345087e-006
