"time","v_0_out","v_1_out"
0.811,1812013907,-77941216
0.812,1812013907,-77941216
0.813,933017586,-77941216
0.814,933017586,-77941216
0.815,933017586,-1342842950
0.816,933017586,-1342842950
0.817,1588334410,-1342842950
0.818,1588334410,-1342842950
0.819,1588334410,497330392
0.82,1588334410,497330392
0.821,-1187590998,497330392
0.822,-1187590998,497330392
0.823,-1187590998,751228910
0.824,-1187590998,751228910
0.825,-376726678,751228910
0.826,-376726678,751228910
0.827,-376726678,453428541
0.828,-376726678,453428541
0.829,-1785667832,453428541
0.83,-1785667832,453428541
0.831,-1785667832,-1452944982
0.832,-1785667832,-1452944982
0.833,-694011068,-1452944982
0.834,-694011068,-1452944982
0.835,-694011068,-1870950802
0.836,-694011068,-1870950802
0.837,238932065,-1870950802
0.838,238932065,-1870950802
0.839,238932065,-659389415
0.84,238932065,-659389415
0.841,-306584327,-659389415
0.842,-306584327,-659389415
0.843,-306584327,48475737
0.844,-306584327,48475737
0.845,-1085813330,48475737
0.846,-1085813330,48475737
0.847,-1085813330,1231659333
0.848,-1085813330,1231659333
0.849,1613824390,1231659333
0.85,1613824390,1231659333
0.851,1613824390,-961317831
0.852,1613824390,-961317831
0.853,124123242,-961317831
0.854,124123242,-961317831
0.855,124123242,371460553
0.856,124123242,371460553
0.857,-910331256,371460553
0.858,-910331256,371460553
0.859,-910331256,1413877177
0.86,-910331256,1413877177
0.861,364299990,1413877177
0.862,364299990,1413877177
0.863,364299990,1922536274
0.864,364299990,1922536274
0.865,2146137079,1922536274
0.866,2146137079,1922536274
0.867,2146137079,1534231638
0.868,2146137079,1534231638
0.869,75165813,1534231638
0.87,75165813,1534231638
0.871,75165813,1125277381
0.872,75165813,1125277381
0.873,-497895741,1125277381
0.874,-497895741,1125277381
0.875,-497895741,434572260
0.876,-497895741,434572260
0.877,1297171992,434572260
0.878,1297171992,434572260
0.879,1297171992,-423736523
0.88,1297171992,-423736523
0.881,148490431,-423736523
0.882,148490431,-423736523
0.883,148490431,2133944819
0.884,148490431,2133944819
0.885,-17252637,2133944819
0.886,-17252637,2133944819
0.887,-17252637,1110725268
0.888,-17252637,1110725268
0.889,-831581234,1110725268
0.89,-831581234,1110725268
0.891,-831581234,670805772
0.892,-831581234,670805772
0.893,849132246,670805772
0.894,849132246,670805772
0.895,849132246,1645520381
0.896,849132246,1645520381
0.897,-1616930849,1645520381
0.898,-1616930849,1645520381
0.899,-1616930849,2098631806
0.9,-1616930849,2098631806
0.901,1344569556,2098631806
0.902,1344569556,2098631806
0.903,1344569556,1255462771
0.904,1344569556,1255462771
0.905,-1261977371,1255462771
0.906,-1261977371,1255462771
0.907,-1261977371,-2054753897
0.908,-1261977371,-2054753897
0.909,-626946958,-2054753897
0.91,-626946958,-2054753897
0.911,-626946958,-466322067
0.912,-626946958,-466322067
0.913,-872826053,-466322067
0.914,-872826053,-466322067
0.915,-872826053,1769039011
0.916,-872826053,1769039011
0.917,-918047131,1769039011
0.918,-918047131,1769039011
0.919,-918047131,-1229307330
0.92,-918047131,-1229307330
0.921,-62541213,-1229307330
0.922,-62541213,-1229307330
0.923,-62541213,969518660
0.924,-62541213,969518660
0.925,1606209889,969518660
0.926,1606209889,969518660
0.927,1606209889,1142337789
0.928,1606209889,1142337789
0.929,-1140329910,1142337789
0.93,-1140329910,1142337789
0.931,-1140329910,1021212935
0.932,-1140329910,1021212935
0.933,-1274031475,1021212935
0.934,-1274031475,1021212935
0.935,-1274031475,-1287579793
0.936,-1274031475,-1287579793
0.937,-1486586590,-1287579793
0.938,-1486586590,-1287579793
0.939,-1486586590,1651502460
0.94,-1486586590,1651502460
0.941,-453596189,1651502460
0.942,-453596189,1651502460
0.943,-453596189,1219300087
0.944,-453596189,1219300087
0.945,-13425638,1219300087
0.946,-13425638,1219300087
0.947,-13425638,1248680891
0.948,-13425638,1248680891
0.949,469607820,1248680891
0.95,469607820,1248680891
0.951,469607820,660349598
0.952,469607820,660349598
0.953,-1212736619,660349598
0.954,-1212736619,660349598
0.955,-1212736619,1066050953
0.956,-1212736619,1066050953
0.957,-838580188,1066050953
0.958,-838580188,1066050953
0.959,-838580188,804200115
0.96,-838580188,804200115
0.961,-1315113951,804200115
0.962,-1315113951,804200115
0.963,-1315113951,-689231453
0.964,-1315113951,-689231453
0.965,-1912480761,-689231453
0.966,-1912480761,-689231453
0.967,-1912480761,-913352563
0.968,-1912480761,-913352563
0.969,-283172257,-913352563
0.97,-283172257,-913352563
0.971,-283172257,196203132
0.972,-283172257,196203132
0.973,-921720744,196203132
0.974,-921720744,196203132
0.975,-921720744,-290805401
0.976,-921720744,-290805401
0.977,1650005283,-290805401
0.978,1650005283,-290805401
0.979,1650005283,1506901765
0.98,1650005283,1506901765
0.981,2091488688,1506901765
0.982,2091488688,1506901765
0.983,2091488688,425608517
0.984,2091488688,425608517
0.985,-741402994,425608517
0.986,-741402994,425608517
0.987,-741402994,1203081399
0.988,-741402994,1203081399
0.989,-1253938226,1203081399
0.99,-1253938226,1203081399
