time,volume@INJ01,q@INJ01
0.013630000000000001,0.00015698351843,-1.2455066394e-08
0.013630000000000001,0.00015698351843,-1.2455066394e-08
0.013640000000000001,0.00015698351842800002,-1.24551082983e-08
0.013640000000000001,0.00015698351842800002,-1.24551082983e-08
0.01365,0.000156983518426,-1.2455157186499999e-08
0.01365,0.000156983518426,-1.2455157186499999e-08
0.01366,0.00015698351842299997,-1.2456623835100001e-08
0.01366,0.00015698351842299997,-1.2456623835100001e-08
0.013669999999999998,0.000156983518421,-1.2455234011e-08
0.013669999999999998,0.000156983518421,-1.2455234011e-08
0.013680000000000001,0.000156983518419,-1.2455282899299999e-08
0.013680000000000001,0.000156983518419,-1.2455282899299999e-08
0.01369,0.000156983518417,-1.24340653837e-08
0.01369,0.000156983518417,-1.24340653837e-08
0.0137,0.000156983518415,-1.24556740056e-08
0.0137,0.000156983518415,-1.24556740056e-08
0.01371,0.00015698351841299997,-1.2455387659899999e-08
0.01371,0.00015698351841299997,-1.2455387659899999e-08
0.01372,0.000156983518411,-1.24553806758e-08
0.01372,0.000156983518411,-1.24553806758e-08
0.013730000000000001,0.000156983518409,-1.23239759506e-08
0.013730000000000001,0.000156983518409,-1.23239759506e-08
0.01374,0.00015698351840700002,-1.24554854365e-08
0.01374,0.00015698351840700002,-1.24554854365e-08
0.01375,0.000156983518405,-1.24555273407e-08
0.01375,0.000156983518405,-1.24555273407e-08
0.01376,0.000156983518403,-1.24553317876e-08
0.01376,0.000156983518403,-1.24553317876e-08
0.01377,0.000156983518401,-1.24651653168e-08
0.01377,0.000156983518401,-1.24651653168e-08
0.01378,0.000156983518399,-1.24556181332e-08
0.01378,0.000156983518399,-1.24556181332e-08
0.01379,0.000156983518396,-1.24556809896e-08
0.01379,0.000156983518396,-1.24556809896e-08
0.0138,0.000156983518394,-1.24556670215e-08
0.0138,0.000156983518394,-1.24556670215e-08
0.01381,0.00015698351839200003,-1.24557298779e-08
0.01381,0.00015698351839200003,-1.24557298779e-08
0.013819999999999999,0.00015698351838999998,-1.24557368619e-08
0.013819999999999999,0.00015698351838999998,-1.24557368619e-08
0.01383,0.00015698351838799998,-1.24557787662e-08
0.01383,0.00015698351838799998,-1.24557787662e-08
0.01384,0.000156983518386,-1.24557997183e-08
0.01384,0.000156983518386,-1.24557997183e-08
0.01385,0.000156983518384,-1.24557997183e-08
0.01385,0.000156983518384,-1.24557997183e-08
0.013859999999999999,0.000156983518382,-1.2455932415100001e-08
0.013859999999999999,0.000156983518382,-1.2455932415100001e-08
0.013869999999999999,0.00015698351837999997,-1.2455862574700001e-08
0.013869999999999999,0.00015698351837999997,-1.2455862574700001e-08
0.013880000000000002,0.000156983518378,-1.24558905108e-08
0.013880000000000002,0.000156983518378,-1.24558905108e-08
0.013890000000000001,0.000156983518376,-1.2455911462899999e-08
0.013890000000000001,0.000156983518376,-1.2455911462899999e-08
0.0139,0.00015698351837399997,-1.2455939399099999e-08
0.0139,0.00015698351837399997,-1.2455939399099999e-08
0.013909999999999999,0.00015698351837200003,-1.2455974319299999e-08
0.013909999999999999,0.00015698351837200003,-1.2455974319299999e-08
0.013919999999999998,0.00015698351836899998,-1.24559882874e-08
0.013919999999999998,0.00015698351836899998,-1.24559882874e-08
0.013930000000000001,0.000156983518367,-1.2456009239499999e-08
0.013930000000000001,0.000156983518367,-1.2456009239499999e-08
0.013940000000000001,0.000156983518365,-1.2456030191600001e-08
0.013940000000000001,0.000156983518365,-1.2456030191600001e-08
0.01395,0.000156983518363,-1.24560511438e-08
0.01395,0.000156983518363,-1.24560511438e-08
0.01396,0.000156983518361,-1.2456079079899999e-08
0.01396,0.000156983518361,-1.2456079079899999e-08
0.013969999999999998,0.00015698351835899998,-1.2456100032e-08
0.013969999999999998,0.00015698351835899998,-1.2456100032e-08
0.013980000000000001,0.00015698351835699998,-1.2456120984200001e-08
0.013980000000000001,0.00015698351835699998,-1.2456120984200001e-08
0.01399,0.000156983518355,-1.24561489203e-08
0.01399,0.000156983518355,-1.24561489203e-08
0.013999999999999999,0.00015698351835299998,-1.2456100032e-08
0.013999999999999999,0.00015698351835299998,-1.2456100032e-08
0.01401,0.000156983518351,-1.24562746331e-08
0.01401,0.000156983518351,-1.24562746331e-08
0.01402,0.000156983518349,-1.24561698724e-08
0.01402,0.000156983518349,-1.24561698724e-08
0.01403,0.000156983518347,-1.24562187607e-08
0.01403,0.000156983518347,-1.24562187607e-08
0.01404,0.000156983518345,-1.24562187607e-08
0.01404,0.000156983518345,-1.24562187607e-08
0.01405,0.000156983518343,-1.24562746331e-08
0.01405,0.000156983518343,-1.24562746331e-08
0.01406,0.00015698351834000002,-1.24562816171e-08
0.01406,0.00015698351834000002,-1.24562816171e-08
0.01407,0.000156983518338,-1.2456309553299998e-08
0.01407,0.000156983518338,-1.2456309553299998e-08
0.01408,0.000156983518336,-1.24563235213e-08
0.01408,0.000156983518336,-1.24563235213e-08
0.01409,0.000156983518334,-1.2456337489399999e-08
0.01409,0.000156983518334,-1.2456337489399999e-08
0.0141,0.000156983518332,-1.24563793937e-08
0.0141,0.000156983518332,-1.24563793937e-08
0.01411,0.00015698351833,-1.2456337489399999e-08
0.01411,0.00015698351833,-1.2456337489399999e-08
0.014119999999999999,0.00015698351832799998,-1.2456358441500001e-08
0.014119999999999999,0.00015698351832799998,-1.2456358441500001e-08
0.014130000000000002,0.000156983518326,-1.24564143139e-08
0.014130000000000002,0.000156983518326,-1.24564143139e-08
0.01414,0.00015698351832399998,-1.2456463202200002e-08
0.01414,0.00015698351832399998,-1.2456463202200002e-08
0.01415,0.000156983518322,-1.2456449234100001e-08
0.01415,0.000156983518322,-1.2456449234100001e-08
0.014159999999999999,0.00015698351831999998,-1.2459214914200001e-08
0.014159999999999999,0.00015698351831999998,-1.2459214914200001e-08
0.014169999999999999,0.00015698351831799998,-1.2456491138299998e-08
0.014169999999999999,0.00015698351831799998,-1.2456491138299998e-08
0.014180000000000002,0.000156983518316,-1.2456498122399999e-08
0.014180000000000002,0.000156983518316,-1.2456498122399999e-08
0.014190000000000001,0.000156983518313,-1.2456519074500001e-08
0.014190000000000001,0.000156983518313,-1.2456519074500001e-08
0.0142,0.000156983518311,-1.24565470106e-08
0.0142,0.000156983518311,-1.24565470106e-08
0.014209999999999999,0.000156983518309,-1.24565609787e-08
0.014209999999999999,0.000156983518309,-1.24565609787e-08
0.014219999999999998,0.00015698351830700002,-1.2456567962799999e-08
0.014219999999999998,0.00015698351830700002,-1.2456567962799999e-08
0.014230000000000001,0.00015698351830500002,-1.24565819308e-08
0.014230000000000001,0.00015698351830500002,-1.24565819308e-08
0.014240000000000001,0.000156983518303,-1.24565609787e-08
0.014240000000000001,0.000156983518303,-1.24565609787e-08
0.01425,0.00015698351830100002,-1.2456616851e-08
0.01425,0.00015698351830100002,-1.2456616851e-08
0.01426,0.000156983518299,-1.24566378032e-08
0.01426,0.000156983518299,-1.24566378032e-08
0.01427,0.00015698351829700002,-1.2456651771200001e-08
0.01427,0.00015698351829700002,-1.2456651771200001e-08
0.014280000000000001,0.000156983518295,-1.24566727234e-08
0.014280000000000001,0.000156983518295,-1.24566727234e-08
0.01429,0.000156983518293,-1.24567425638e-08
0.01429,0.000156983518293,-1.24567425638e-08
0.0143,0.00015698351829100001,-1.2456686691500001e-08
0.0143,0.00015698351829100001,-1.2456686691500001e-08
0.01431,0.000156983518289,-1.24567006595e-08
0.01431,0.000156983518289,-1.24567006595e-08
0.01432,0.00015698351828600003,-1.24567285957e-08
0.01432,0.00015698351828600003,-1.24567285957e-08
0.01433,0.000156983518284,-1.24567425638e-08
0.01433,0.000156983518284,-1.24567425638e-08
0.01434,0.000156983518282,-1.2456756531899999e-08
0.01434,0.000156983518282,-1.2456756531899999e-08
0.01435,0.00015698351828,-1.24567704999e-08
0.01435,0.00015698351828,-1.24567704999e-08
0.01436,0.000156983518278,-1.2456784468000001e-08
0.01436,0.000156983518278,-1.2456784468000001e-08
0.014369999999999999,0.000156983518276,-1.2456812404200001e-08
0.014369999999999999,0.000156983518276,-1.2456812404200001e-08
0.01438,0.00015698351827399997,-1.2456812404200001e-08
0.01438,0.00015698351827399997,-1.2456812404200001e-08
0.01439,0.00015698351827200002,-1.2456833356299999e-08
0.01439,0.00015698351827200002,-1.2456833356299999e-08
0.0144,0.00015698351827,-1.24568612925e-08
0.0144,0.00015698351827,-1.24568612925e-08
0.01441,0.00015698351826800002,-1.24568612925e-08
0.01441,0.00015698351826800002,-1.24568612925e-08
0.014419999999999999,0.00015698351826600002,-1.2456875260600001e-08
0.014419999999999999,0.00015698351826600002,-1.2456875260600001e-08
0.014430000000000002,0.000156983518264,-1.24568892286e-08
0.014430000000000002,0.000156983518264,-1.24568892286e-08
0.01444,0.000156983518262,-1.24568962127e-08
0.01444,0.000156983518262,-1.24568962127e-08
0.01445,0.000156983518259,-1.24569171648e-08
0.01445,0.000156983518259,-1.24569171648e-08
0.014459999999999999,0.000156983518257,-1.24569241488e-08
0.014459999999999999,0.000156983518257,-1.24569241488e-08
0.014469999999999998,0.000156983518255,-1.2456945101000001e-08
0.014469999999999998,0.000156983518255,-1.2456945101000001e-08
0.014480000000000002,0.00015698351825299997,-1.2456959069e-08
0.014480000000000002,0.00015698351825299997,-1.2456959069e-08
0.014490000000000001,0.00015698351825100003,-1.2456959069e-08
0.014490000000000001,0.00015698351825100003,-1.2456959069e-08
0.0145,0.000156983518249,-1.2457077797700001e-08
0.0145,0.000156983518249,-1.2457077797700001e-08
0.014509999999999999,0.000156983518247,-1.24569939892e-08
0.014509999999999999,0.000156983518247,-1.24569939892e-08
0.014519999999999998,0.00015698351824500003,-1.24570009733e-08
0.014519999999999998,0.00015698351824500003,-1.24570009733e-08
0.014530000000000001,0.000156983518243,-1.24570149414e-08
0.014530000000000001,0.000156983518243,-1.24570149414e-08
0.01454,0.000156983518241,-1.24570358935e-08
0.01454,0.000156983518241,-1.24570358935e-08
0.01455,0.000156983518239,-1.24570428775e-08
0.01455,0.000156983518239,-1.24570428775e-08
0.01456,0.00015698351823700002,-1.24570568456e-08
0.01456,0.00015698351823700002,-1.24570568456e-08
0.01457,0.00015698351823500002,-1.2457070813700002e-08
0.01457,0.00015698351823500002,-1.2457070813700002e-08
0.014580000000000001,0.00015698351823199998,-1.2457084781799999e-08
0.014580000000000001,0.00015698351823199998,-1.2457084781799999e-08
0.01459,0.00015698351822999998,-1.2457091765799999e-08
0.01459,0.00015698351822999998,-1.2457091765799999e-08
0.0146,0.000156983518228,-1.24571127179e-08
0.0146,0.000156983518228,-1.24571127179e-08
