"time","Capacitor1_i","IdealDiode3_v"
0.0397,-159.125,2.3417
0.0398,-159.125,2.3417
0.0398,-125.187,2.37562
0.0399,-125.187,2.37562
0.0399,-89.6834,2.41111
0.04,-89.6834,2.41111
0.04,-53.2773,2.4475
0.0401,-53.2773,2.4475
0.0401,-16.637,2.48412
0.0402,-16.637,2.48412
0.0402,19.5694,2.52031
0.0403,19.5694,2.52031
0.0403,54.6777,2.55541
0.0404,54.6777,2.55541
0.0404,88.0317,2.58875
0.0405,88.0317,2.58875
0.0405,118.988,2.61969
0.0406,118.988,2.61969
0.0406,146.918,2.6476
0.0407,146.918,2.6476
0.0407,171.214,2.67189
0.0408,171.214,2.67189
0.0408,191.294,2.69195
0.0409,191.294,2.69195
0.0409,206.6,2.70725
0.041,206.6,2.70725
0.041,216.609,2.71724
0.0411,216.609,2.71724
0.0411,220.829,2.72145
0.0412,220.829,2.72145
0.0412,218.806,2.71942
0.0413,218.806,2.71942
0.0413,210.129,2.71073
0.0414,210.129,2.71073
0.0414,194.427,2.69501
0.0415,194.427,2.69501
0.0415,171.376,2.67195
0.0416,171.376,2.67195
0.0416,140.698,2.64126
0.0417,140.698,2.64126
0.0417,102.167,2.60272
0.0418,102.167,2.60272
0.0418,55.6054,2.55614
0.0419,55.6054,2.55614
0.0419,1.84919,2.50046
0.042,1.84919,2.50046
0.042,-53.8944,2.4303
0.0421,-53.8944,2.4303
0.0421,-110.93,2.34485
0.0422,-110.93,2.34485
0.0422,-169.367,2.24414
0.0423,-169.367,2.24414
0.0423,-229.3,2.12821
0.0424,-229.3,2.12821
0.0424,-289.373,-122.744
0.0425,-289.373,-122.744
0.0425,-279.528,-136.596
0.0426,-279.528,-136.596
0.0426,-264.321,-150.615
0.0427,-264.321,-150.615
0.0427,-244.296,-164.802
0.0428,-244.296,-164.802
0.0428,-220.026,-179.159
0.0429,-220.026,-179.159
0.0429,-192.11,-193.684
0.043,-192.11,-193.684
0.043,-161.167,-208.373
0.0431,-161.167,-208.373
0.0431,-127.837,-223.22
0.0432,-127.837,-223.22
0.0432,-92.7706,-238.216
0.0433,-92.7706,-238.216
0.0433,-56.6291,-253.352
0.0434,-56.6291,-253.352
0.0434,-20.0794,-268.613
0.0435,-20.0794,-268.613
0.0435,16.2105,-283.987
0.0436,16.2105,-283.987
0.0436,51.5753,-299.455
0.0437,51.5753,-299.455
0.0437,85.3569,-314.997
0.0438,85.3569,-314.997
0.0438,116.908,-330.593
0.0439,116.908,-330.593
0.0439,145.597,-346.22
0.044,145.597,-346.22
0.044,170.811,-361.85
0.0441,170.811,-361.85
0.0441,191.96,-377.458
0.0442,191.96,-377.458
0.0442,208.481,-393.013
0.0443,208.481,-393.013
0.0443,219.84,-408.485
0.0444,219.84,-408.485
0.0444,225.538,-423.841
0.0445,225.538,-423.841
0.0445,225.111,-439.046
0.0446,225.111,-439.046
0.0446,218.135,-454.067
0.0447,218.135,-454.067
0.0447,204.23,-468.865
0.0448,204.23,-468.865
0.0448,183.059,-483.404
0.0449,183.059,-483.404
0.0449,154.332,-497.644
0.045,154.332,-497.644
0.045,117.809,-511.548
0.0451,117.809,-511.548
0.0451,73.2985,-525.074
0.0452,73.2985,-525.074
0.0452,20.7504,-536.205
0.0453,20.7504,-536.205
0.0453,-35.455,-536.166
0.0454,-35.455,-536.166
0.0454,-92.9103,-535.763
0.0455,-92.9103,-535.763
0.0455,-151.722,-534.985
0.0456,-151.722,-534.985
0.0456,-211.983,-533.825
0.0457,-211.983,-533.825
0.0457,-273.774,-532.271
0.0458,-273.774,-532.271
0.0458,-286.941,-530.379
0.0459,-286.941,-530.379
0.0459,-274.031,-528.519
0.046,-274.031,-528.519
0.046,-256.096,-526.767
0.0461,-256.096,-526.767
0.0461,-233.695,-525.155
0.0462,-233.695,-525.155
0.0462,-207.416,-523.709
0.0463,-207.416,-523.709
0.0463,-177.87,-522.452
0.0464,-177.87,-522.452
0.0464,-145.688,-521.405
0.0465,-145.688,-521.405
0.0465,-111.513,-520.581
0.0466,-111.513,-520.581
0.0466,-76.004,-519.99
0.0467,-76.004,-519.99
0.0467,-39.8229,-519.64
0.0468,-39.8229,-519.64
0.0468,-3.63663,-519.532
0.0469,-3.63663,-519.532
0.0469,31.8896,-519.662
0.047,31.8896,-519.662
0.047,66.0959,-520.024
0.0471,66.0959,-520.024
0.0471,98.3321,-520.606
0.0472,98.3321,-520.606
