"time","step2","J1_w","J2_w","J3_w","J4_w"
0.165,0,8.5332,1.63827,-1.90958e-014,-1.9096e-014
0.165,0,8.5332,1.63827,-1.90958e-014,-1.9096e-014
0.166,0,8.51463,1.64805,-1.95399e-014,-1.954e-014
0.166,0,8.51463,1.64805,-1.95399e-014,-1.954e-014
0.166,0,8.51463,1.64805,-1.95399e-014,-1.954e-014
0.167,0,8.49621,1.65784,-1.86517e-014,-1.86519e-014
0.168,0,8.47793,1.66762,-1.88738e-014,-1.88739e-014
0.168,0,8.47793,1.66762,-1.88738e-014,-1.88739e-014
0.168,0,8.47793,1.66762,-1.88738e-014,-1.88739e-014
0.168,0,8.47793,1.66762,-1.88738e-014,-1.88739e-014
0.168,0,8.47793,1.66762,-1.88738e-014,-1.88739e-014
0.169,0,8.45985,1.67739,-1.95399e-014,-1.954e-014
0.17,0,8.44192,1.68717,-1.9762e-014,-1.97621e-014
0.171,0,8.42417,1.69694,-2.04281e-014,-2.04282e-014
0.171,0,8.42417,1.69694,-2.04281e-014,-2.04282e-014
0.171,0,8.42417,1.69694,-2.04281e-014,-2.04282e-014
0.172,0,8.40666,1.70671,-1.82077e-014,-1.82078e-014
0.172,0,8.40666,1.70671,-1.82077e-014,-1.82078e-014
0.172,0,8.40666,1.70671,-1.82077e-014,-1.82078e-014
0.173,0,8.38935,1.71648,-1.62093e-014,-1.62094e-014
0.174,0,8.37222,1.72624,-1.75415e-014,-1.75416e-014
0.174,0,8.37222,1.72624,-1.75415e-014,-1.75416e-014
0.174,0,8.37222,1.72624,-1.75415e-014,-1.75416e-014
