    "time", "axis1_w", "axis2_w", "axis3_w", "axis4_w", "axis5_w", "axis6_w"
     1.136, 1.6972855,-1.2674193,-1.7464208,0.63040035, 3.1017366,0.63211347
      1.14, 1.6972295,-1.2673442,-1.7462626,0.63028678, 3.1018847,0.63200881
     1.144, 1.6971695,-1.2672699, -1.746109,0.63017445, 3.1020332,0.63190384
     1.148, 1.6971057,-1.2671962,-1.7459598,0.63006342, 3.1021823,0.63179864
     1.152,  1.697038,-1.2671231,-1.7458153,0.62995378, 3.1023316,0.63169325
     1.156, 1.6969665,-1.2670508,-1.7456754, 0.6298456, 3.1024812,0.63158775
      1.16, 1.6968913,-1.2669793,-1.7455402,0.62973894,  3.102631, 0.6314822
     1.164, 1.6968124,-1.2669084,-1.7454098,0.62963383, 3.1027808,0.63137668
     1.168, 1.6967299,-1.2668384,-1.7452842,0.62953034, 3.1029307,0.63127125
     1.172,  1.696644,-1.2667691,-1.7451634,0.62942854, 3.1030804,0.63116599
     1.176, 1.6965548,-1.2667007,-1.7450476,0.62932844, 3.1032298,0.63106099
      1.18, 1.6964623,-1.2666331,-1.7449366,0.62923008, 3.1033789,0.63095635
     1.184, 1.6963669,-1.2665663,-1.7448306, 0.6291335, 3.1035275,0.63085216
     1.188, 1.6962686,-1.2665004,-1.7447295,0.62903873, 3.1036755, 0.6307485
     1.192, 1.6961675,-1.2664353,-1.7446335,0.62894581, 3.1038228,0.63064544
     1.196, 1.6960637,-1.2663712,-1.7445425,0.62885477, 3.1039692,0.63054308
       1.2, 1.6959575,-1.2663079,-1.7444566,0.62876561, 3.1041146,0.63044152
     1.204, 1.6958489,-1.2662456,-1.7443758,0.62867841, 3.1042589,0.63034083
     1.208, 1.6957378,-1.2661841,-1.7443002,0.62859321, 3.1044019,0.63024105
     1.212, 1.6956245,-1.2661236,-1.7442297,0.62851005, 3.1045437,0.63014229
     1.216, 1.6955089, -1.266064,-1.7441645,0.62842896,  3.104684,0.63004461
      1.22, 1.6953911,-1.2660054,-1.7441046,0.62835003, 3.1048228,0.62994806
