    "time","Piston_r2","Inertia_w"
    0.2895,0.17750571, 204.54297
      0.29,0.16719848, 210.39205
    0.2905,0.15728948,  217.0636
     0.291,0.14789796,  224.3365
    0.2915,0.13914107, 231.91671
     0.292,0.13112683, 239.46081
    0.2925,0.12394655, 246.61949
     0.293,0.11766866, 253.08843
    0.2935,0.11233596,  258.6488
     0.294,0.10796724, 263.18333
    0.2945, 0.1045626, 266.66312
     0.295,0.10211083, 269.11893
    0.2955,0.10059703, 270.60562
     0.296,0.10000889, 271.17223
    0.2965,0.10034079, 270.82258
     0.297,0.10159527, 269.59691
    0.2975,0.10378165, 267.43435
     0.298,0.10691759, 264.30799
    0.2985,0.11101367, 260.18926
     0.299, 0.1160775, 255.11567
    0.2995,0.12210191, 249.19535
       0.3,  0.129063, 242.57912
    0.3005,  0.136904,  235.5683
     0.301,0.14554734, 228.48393
    0.3015,0.15489532, 221.68411
     0.302,0.16483845, 215.48872
    0.3025,0.17526499, 210.14062
     0.303,0.18605976, 205.83079
    0.3035,0.19711275, 202.67467
     0.304,0.20831517, 200.76494
    0.3045,0.21955966, 200.17935
     0.305,0.23073767, 200.99156
    0.3055, 0.2417342, 203.28263
     0.306,0.25242057, 207.14234
    0.3065,0.26264482, 212.65245
     0.307,0.27221926, 219.83699
    0.3075,0.28090522,  228.5451
     0.308,0.28840257, 238.34367
    0.3085,0.29434193, 248.09527
     0.309,0.29831592, 255.89819
    0.3095,0.29996681, 259.52714
      0.31,0.29911915, 257.75584
    0.3105, 0.2958596, 251.59811
     0.311,0.29048342, 242.91562
    0.3115, 0.2833782, 233.69272
     0.312,0.27492192, 225.28387
    0.3125,0.26543085, 218.37089
     0.313, 0.2551552, 213.15079
    0.3135,0.24428668, 209.65099
     0.314,0.23301494, 207.83045
    0.3145,0.22146312, 207.62475
     0.315,0.20977193, 208.97422
    0.3155,0.19806554, 211.83434
     0.316,0.18646456, 216.14501
    0.3165,0.17509625, 221.81058
     0.317,0.16409707, 228.67697
    0.3175,0.15361102, 236.50139
     0.318,0.14378402, 244.95352
    0.3185,0.13475542,    253.61
     0.319,0.12664758, 262.00369
    0.3195,0.11955595, 269.69826
      0.32,0.11354316, 276.35883
    0.3205,0.10863922, 281.78999
     0.321, 0.1048477, 285.92924
    0.3215,0.10215579, 288.80656
     0.322,0.10054498, 290.49176
    0.3225, 0.1000001,  291.0487
     0.323,0.10051499, 290.48333
    0.3235,0.10209455, 288.83665
     0.324,0.10475285, 286.02841
    0.3245,0.10851071, 282.01728
     0.325,0.11338499, 276.79487
    0.3255,0.11937748,  270.4324
     0.326,0.12646533, 263.11798
    0.3265,0.13459454, 255.17957
     0.327,0.14367862, 247.03817
    0.3275,0.15360332, 239.15181
     0.328,0.16423576, 231.94841
    0.3285,0.17543464, 225.77838
     0.329, 0.1870584, 220.89841
    0.3295,0.19896954, 217.48319
      0.33,0.21103495,  215.6532
