"time","J1_0w","J2_0w","J3_0w","J4_0w"
0.315,7.55331,3.05502,4.88498e-015,4.90795e-015
0.315,7.53296,3.06887,4.44089e-015,4.46479e-015
0.3165,7.53296,3.06887,4.44089e-015,4.46479e-015
0.3165,7.512,3.08271,3.9968e-015,4.02159e-015
0.318,7.512,3.08271,3.9968e-015,4.02159e-015
0.318,7.49043,3.09654,4.88498e-015,4.91063e-015
0.3195,7.49043,3.09654,4.88498e-015,4.91063e-015
0.3195,7.46828,3.11035,4.44089e-015,4.46734e-015
0.321,7.46828,3.11035,4.44089e-015,4.46734e-015
0.321,7.44556,3.12416,4.44089e-015,4.46802e-015
0.3225,7.44556,3.12416,4.44089e-015,4.46802e-015
0.3225,7.42229,3.13796,3.9968e-015,4.02451e-015
0.324,7.42229,3.13796,3.9968e-015,4.02451e-015
0.324,7.3985,3.15174,3.9968e-015,4.02516e-015
0.3255,7.3985,3.15174,3.9968e-015,4.02516e-015
0.3255,7.3742,3.16551,4.88498e-015,4.91393e-015
0.327,7.3742,3.16551,4.88498e-015,4.91393e-015
0.327,7.34942,3.17927,3.9968e-015,4.02629e-015
0.3285,7.34942,3.17927,3.9968e-015,4.02629e-015
0.3285,7.32419,3.19302,4.44089e-015,4.47087e-015
0.33,7.32419,3.19302,4.44089e-015,4.47087e-015
0.33,7.29852,3.20676,3.9968e-015,4.02723e-015
0.3315,7.29852,3.20676,3.9968e-015,4.02723e-015
0.3315,7.27245,3.22049,3.9968e-015,4.0276e-015
0.333,7.27245,3.22049,3.9968e-015,4.0276e-015
